Area,Topic,Type,Title,Text,Link
1,Empirical Studies,Paper,Familiarity Vs Trust: A Comparative Study of Domain Scientists’ Trust in Visual Analytics and Conventional Analysis Methods,"Combining interactive visualization with automated analytical methods like statistics and data mining facilitates data-driven discovery. These visual analytic methods are beginning to be instantiated within mixed-initiative systems, where humans and machines collaboratively influence evidence-gathering and decision-making. But an open research question is that, when domain experts analyze their data, can they completely trust the outputs and operations on the machine-side? Visualization potentially leads to a transparent analysis process, but do domain experts always trust what they see? To address these questions, we present results from the design and evaluation of a mixed-initiative, visual analytics system for biologists, focusing on analyzing the relationships between familiarity of an analysis medium and domain experts' trust. We propose a trust-augmented design of the visual analytics system, that explicitly takes into account domain-specific tasks, conventions, and preferences. For evaluating the system, we present the results of a controlled user study with 34 biologists where we compare the variation of the level of trust across conventional and visual analytic mediums and explore the influence of familiarity and task complexity on trust. We find that despite being unfamiliar with a visual analytic medium, scientists seem to have an average level of trust that is comparable with the same in conventional analysis medium. In fact, for complex sense-making tasks, we find that the visual analytic system is able to inspire greater trust than other mediums. We summarize the implications of our findings with directions for future research on trustworthiness of visual analytic systems.",https://ieeexplore.ieee.org/document/7536106
1,Empirical Studies,Paper,Modeling Color Difference for Visualization Design,"Color is frequently used to encode values in visualizations. For color encodings to be effective, the mapping between colors and values must preserve important differences in the data. However, most guidelines for effective color choice in visualization are based on either color perceptions measured using large, uniform fields in optimal viewing environments or on qualitative intuitions. These limitations may cause data misinterpretation in visualizations, which frequently use small, elongated marks. Our goal is to develop quantitative metrics to help people use color more effectively in visualizations. We present a series of crowdsourced studies measuring color difference perceptions for three common mark types: points, bars, and lines. Our results indicate that peoples' abilities to perceive color differences varies significantly across mark types. Probabilistic models constructed from the resulting data can provide objective guidance for designers, allowing them to anticipate viewer perceptions in order to inform effective encoding design.",https://pubmed.ncbi.nlm.nih.gov/28866544/
2,Area 2,Description,,"This area encompasses all forms of application-focused research, which may aim to solve an application-motivated technical problem, to formulate the best practice in working with domain experts to transform general-purpose visualization technology to domain-specific solutions, to design and develop visualization systems and visual analytics workflows for supporting individual applications, or to gain insight into how to adapt and optimize visualization technology to support the users in a particular application domain. The technical solutions reported in this area are mostly application-specific and usually developed in collaboration with domain experts. These solutions can be in different forms, such as designs of visual representations and interaction techniques, descriptions of algorithms and techniques for data transformation, prototypes of visualization hardware and software, specifications of workflows and best practice, or design studies. Application papers underline the impact and importance of the field beyond the VIS research community itself.",
2,Domains,Description,,"The use of visualization and visual analytics spreads across essentially all areas research and is relevant to commercial entities as well as non-profit and governmental agencies. In some areas the use has reached a high level of maturity whereas in other domains visualization is emerging as a new and essential component in the workflow. VIS welcomes submissions related to application domains spanning all existing, emerging and potential domains.",
2,Technical Solution,Description,,"visual representations, interaction techniques, algorithms, techniques, hardware prototypes, software prototypes, integrated workflows, recommended working practice, etc.",
2,Insight,Description,,"success stories and failures about applying visualization technology in practice, achievements of multidisciplinary research projects, benefits gained from collaboration with domain experts, and guidelines resulting from application-focused design studies.",
2,Domains,Paper,Visual Analysis and Dissemination of Scientific Literature Collections with SurVis,"Bibliographic data such as collections of scientific articles and citation networks have been studied extensively in information visualization and visual analytics research. Powerful systems have been built to support various types of bibliographic analysis, but they require some training and cannot be used to disseminate the insights gained. In contrast, we focused on developing a more accessible visual analytics system, called SurVis, that is ready to disseminate a carefully surveyed literature collection. The authors of a survey may use our Web-based system to structure and analyze their literature database. Later, readers of the survey can obtain an overview, quickly retrieve specific publications, and reproduce or extend the original bibliographic analysis. Our system employs a set of selectors that enable users to filter and browse the literature collection as well as to control interactive visualizations. The versatile selector concept includes selectors for textual search, filtering by keywords and meta-information, selection and clustering of similar publications, and following citation links. Agreement to the selector is represented by word-sized sparkline visualizations seamlessly integrated into the user interface. Based on an analysis of the analytical reasoning process, we derived requirements for the system. We developed the system in a formative way involving other researchers writing literature surveys. A questionnaire study with 14 visual analytics experts confirms that SurVis meets the initially formulated requirements.",https://pubmed.ncbi.nlm.nih.gov/26529698/
2,Domains,Paper,Lineage: Visualizing multivariate clinical data in genealogy graphs,"The majority of diseases that are a significant challenge for public and individual heath are caused by a combination of hereditary and environmental factors. In this paper we introduce Lineage, a novel visual analysis tool designed to support domain experts who study such multifactorial diseases in the context of genealogies. Incorporating familial relationships between cases with other data can provide insights into shared genomic variants and shared environmental exposures that may be implicated in such diseases. We introduce a data and task abstraction, and argue that the problem of analyzing such diseases based on genealogical, clinical, and genetic data can be mapped to a multivariate graph visualization problem. The main contribution of our design study is a novel visual representation for tree-like, multivariate graphs, which we apply to genealogies and clinical data about the individuals in these families. We introduce data-driven aggregation methods to scale to multiple families. By designing the genealogy graph layout to align with a tabular view, we are able to incorporate extensive, multivariate attributes in the analysis of the genealogy without cluttering the graph. We validate our designs by conducting case studies with our domain collaborators.",https://vdl.sci.utah.edu/publications/2018_tvcg_lineage/
2,Domains,Paper,In Situ Distribution Guided Analysis and Visualization of Transonic Jet Engine Simulations,"Study of flow instability in turbine engine compressors is crucial to understand the inception and evolution of engine stall. Aerodynamics experts have been working on detecting the early signs of stall in order to devise novel stall suppression technologies. A state-of-the-art Navier-Stokes based, time-accurate computational fluid dynamics simulator, TURBO, has been developed in NASA to enhance the understanding of flow phenomena undergoing rotating stall. Despite the proven high modeling accuracy of TURBO, the excessive simulation data prohibits post-hoc analysis in both storage and I/O time. To address these issues and allow the expert to perform scalable stall analysis, we have designed an in situ distribution guided stall analysis technique. Our method summarizes statistics of important properties of the simulation data in situ using a probabilistic data modeling scheme. This data summarization enables statistical anomaly detection for flow instability in post analysis, which reveals the spatiotemporal trends of rotating stall for the expert to conceive new hypotheses. Furthermore, the verification of the hypotheses and exploratory visualization using the summarized data are realized using probabilistic visualization techniques such as uncertain isocontouring. Positive feedback from the domain scientist has indicated the efficacy of our system in exploratory stall analysis.",https://pubmed.ncbi.nlm.nih.gov/27875195/
2,Technical Solution,Paper,HiPiler: Visual Exploration of Large Genome Interaction Matrices with Interactive Small Multiples,"This paper presents an interactive visualization interface-HiPiler-for the exploration and visualization of regions-of-interest in large genome interaction matrices. Genome interaction matrices approximate the physical distance of pairs of regions on the genome to each other and can contain up to 3 million rows and columns with many sparse regions. Regions of interest (ROIs) can be defined, e.g., by sets of adjacent rows and columns, or by specific visual patterns in the matrix. However, traditional matrix aggregation or pan-and-zoom interfaces fail in supporting search, inspection, and comparison of ROIs in such large matrices. In HiPiler, ROIs are first-class objects, represented as thumbnail-like ""snippets"". Snippets can be interactively explored and grouped or laid out automatically in scatterplots, or through dimension reduction methods. Snippets are linked to the entire navigable genome interaction matrix through brushing and linking. The design of HiPiler is based on a series of semi-structured interviews with 10 domain experts involved in the analysis and interpretation of genome interaction matrices. We describe six exploration tasks that are crucial for analysis of interaction matrices and demonstrate how HiPiler supports these tasks. We report on a user study with a series of data exploration sessions with domain experts to assess the usability of HiPiler as well as to demonstrate respective findings in the data.",https://pubmed.ncbi.nlm.nih.gov/28866592/
2,Technical Solution,Paper,Globe Browsing: Contextualized Spatio-Temporal Planetary Surface Visualization,"Results of planetary mapping are often shared openly for use in scientific research and mission planning. In its raw format, however, the data is not accessible to non-experts due to the difficulty in grasping the context and the intricate acquisition process. We present work on tailoring and integration of multiple data processing and visualization methods to interactively contextualize geospatial surface data of celestial bodies for use in science communication. As our approach handles dynamic data sources, streamed from online repositories, we are significantly shortening the time between discovery and dissemination of data and results. We describe the image acquisition pipeline, the pre-processing steps to derive a 2.5D terrain, and a chunked level-of-detail, out-of-core rendering approach to enable interactive exploration of global maps and high-resolution digital terrain models. The results are demonstrated for three different celestial bodies. The first case addresses high-resolution map data on the surface of Mars. A second case is showing dynamic processes, such as concurrent weather conditions on Earth that require temporal datasets. As a final example we use data from the New Horizons spacecraft which acquired images during a single flyby of Pluto. We visualize the acquisition process as well as the resulting surface data. Our work has been implemented in the OpenSpace software [8], which enables interactive presentations in a range of environments such as immersive dome theaters, interactive touch tables, and virtual reality headsets.",https://pubmed.ncbi.nlm.nih.gov/28866505/
2,Insight,Paper,Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization,"Although visualization design models exist in the literature in the form of higher-level methodological frameworks, these models do not present a clear methodological prescription for the domain characterization step. This work presents a framework and end-to-end model for requirements engineering in problem-driven visualization application design. The framework and model are based on the activity-centered design paradigm, which is an enhancement of human-centered design. The proposed activity-centered approach focuses on user tasks and activities, and allows an explicit link between the requirements engineering process with the abstraction stage-and its evaluation-of existing, higher-level visualization design models. In a departure from existing visualization design models, the resulting model: assigns value to a visualization based on user activities; ranks user tasks before the user data; partitions requirements in activity-related capabilities and nonfunctional characteristics and constraints; and explicitly incorporates the user workflows into the requirements process. A further merit of this model is its explicit integration of functional specifications, a concept this work adapts from the software engineering literature, into the visualization design nested model. A quantitative evaluation using two sets of interdisciplinary projects supports the merits of the activity-centered model. The result is a practical roadmap to the domain characterization step of visualization design for problem-driven data visualization. Following this domain characterization model can help remove a number of pitfalls that have been identified multiple times in the visualization design literature.",https://pubmed.ncbi.nlm.nih.gov/28866550/
2,Insight,Paper,Bridging From Goals to Tasks with Design Study Analysis Reports,"Visualization researchers and practitioners engaged in generating or evaluating designs are faced with the difficult problemof transforming the questions asked and actions taken by target users from domain-specific language and context into more abstractforms. Existing abstract task classifications aim to provide support for this endeavour by providing a carefully delineated suite of actions.Our experience is that this bottom-up approach is part of the challenge: low-level actions are difficult to interpret without a higher-levelcontext of analysis goals and the analysis process. To bridge this gap, we propose a framework based on analysis reports derived fromopen-coding 20 design study papers published at IEEE InfoVis 2009-2015, to build on the previous work of abstractions that collectivelyencompass a broad variety of domains. The framework is organized in two axes illustrated by nine analysis goals. It helps situate theanalysis goals by placing each goal under axes of specificity (Explore, Describe, Explain, Confirm) and number of data populations(Single, Multiple). The single-population types are Discover Observation, Describe Observation, Identify Main Cause, and CollectEvidence. The multiple-population types are Compare Entities, Explain Differences, and Evaluate Hypothesis. Each analysis goal isscoped by an input and an output and is characterized by analysis steps reported in the design study papers. We provide examplesof how we and others have used the framework in a top-down approach to abstracting domain problems: visualization designers orresearchers first identify the analysis goals of each unit of analysis in an analysis stream, and then encode the individual steps usingexisting task classifications with the context of the goal, the level of specificity, and the number of populations involved in the analysis.",https://research.tableau.com/sites/default/files/GoalsToTasks.pdf
3,Area 3,Description,,"This area focuses on the themes of building systems, algorithms for rendering, and alternate input and output modalities. Papers submitted to this area may present new visualization system architectures, support different computing platforms and development environments, or exploit commodity and specialized hardware devices for either rendering or interaction modalities beyond the desktop. The rendering theme includes algorithms and techniques both in software and through hardware acceleration, and also algorithms for graph layout and label placement.",
3,  Computing Platforms,Description,,"commodity hardware, GPU, HPC, energy efficient visualization algorithms and hardware, etc.",
3,  Visualization Environments,Description,,"non-immersive and immersive environments, desktop, mobile, web-based, VR/MR/AR, dome theaters, CAVEs, physicalization, remote collaboration, etc.",
3,  Display Hardware and Output Devices,Description,,"large and small displays, stereo displays, volumetric displays, 2D/3D printing, non-visual devices, etc.",
3,  Interaction Modalities,Description,,"touch, pen, speech, gesture, haptics, etc.",
3,  Development Environments,Description,,"programming languages, software libraries, authoring systems, visualization toolkits, software frameworks for integration and interoperability, etc.",
3,  Processing Paradigms,Description,,"parallel, distributed, out-of-core, progressive, streaming, in situ, in transit, etc.",
3,  Engineering Visualization Systems,Description,,"visualization system lifecycle, testing, performance analysis, verification, validation, etc.",
3,  Visualization Systems,Description,,"general-purpose and application-specific plug-ins, apps, tools, systems, multi-system workflows, etc.",
3,  Data and Software Resources,Description,,"open data, open source software, benchmark data, reproducibility, authentication, etc.",
3,  Rendering Techniques,Description,,"surface rendering, volume rendering, point-cloud rendering, line-cloud rendering, global illumination, stylized rendering, transfer functions, etc.",
3,  Lighting and Shading Models,Description,,"volume rendering integrals, spectral rendering, learning lighting and shading models from real-world data.",
3,  Placement Techniques,Description,,"object placement, graph layout, word/tag cloud, etc.",
3,  Other Synthesis Techniques,Description,,"fabrication, sonification, haptic feedback, etc.",
3,  Computing Platforms,Paper,Cross-Platform Ubiquitous Volume Rendering Using Programmable Shaders in VTK for Scientific and Medical Visualization,"The visualization toolkit (VTK) is a popular cross-platform, open source toolkit for scientific and medical data visualization, processing, and analysis. It supports a wide variety of data formats, algorithms, and rendering techniques for both polygonal and volumetric data. In particular, VTK's volume rendering module has long provided a comprehensive set of features such as plane clipping, color and opacity transfer functions, lighting, and other controls needed for visualization. However, due to VTK's legacy OpenGL backend and its reliance on a deprecated API, the system did not take advantage of the latest improvements in graphics hardware or the flexibility of a programmable pipeline. Additionally, this dependence on an antiquated pipeline posed restrictions when running on emerging computing platforms, thereby limiting its overall applicability. In response to these shortcomings, the VTK community developed a new and improved volume rendering module, which not only provides a modern graphics processing unit-based implementation, but also augments its capabilities with new features such as fast volume clipping, gradient-magnitude-based opacity modulation, render to texture, and hardware-based volume picking.",https://ieeexplore.ieee.org/document/8663650
3,  Visualization Environments,Paper,Designing for Mobile and Immersive Visual Analytics in the Field,"Data collection and analysis in the field is critical for operations in domains such as environmental science and public safety. However, field workers currently face data- and platform-oriented issues in efficient data collection and analysis in the field, such as limited connectivity, screen space, and attentional resources. In this paper, we explore how visual analytics tools might transform field practices by more deeply integrating data into these operations. We use a design probe coupling mobile, cloud and immersive analytics components to guide interviews with ten experts from five domains to explore how visual analytics could support data collection and analysis needs in the field. The results identify shortcomings of current approaches and target scenarios and design considerations for future field analysis systems. We embody these findings in FieldView, an extensible, open-source prototype designed to support critical use cases for situated field analysis. Our findings suggest the potential for integrating mobile and immersive technologies to enhance data's utility for various field operations and new directions for visual analytics tools to transform fieldwork.",https://arxiv.org/abs/1908.00680
3,"  M. Kraus, N. K. Weiler, D. Oelke, J. Kehrer, D. Keim, J. Fuchs. ""The Impact of Immersion on Cluster Identification Tasks"",  IEEE Transactions on Visualization and Computer Graphics, 26(1)",Paper,The Impact of Immersion on Cluster Identification Tasks,"Recent developments in technology encourage the use of head-mounted displays (HMDs) as a medium to explore visualizations in virtual realities (VRs). VR environments (VREs) enable new, more immersive visualization design spaces compared to traditional computer screens. Previous studies in different domains, such as medicine, psychology, and geology, report a positive effect of immersion, e.g., on learning performance or phobia treatment effectiveness. Our work presented in this paper assesses the applicability of those findings to a common task from the information visualization (InfoVis) domain. We conducted a quantitative user study to investigate the impact of immersion on cluster identification tasks in scatterplot visualizations. The main experiment was carried out with 18 participants in a within-subjects setting using four different visualizations, (1) a 2D scatterplot matrix on a screen, (2) a 3D scatterplot on a screen, (3) a 3D scatterplot miniature in a VRE and (4) a fully immersive 3D scatterplot in a VRE. The four visualization design spaces vary in their level of immersion, as shown in a supplementary study. The results of our main study indicate that task performance differs between the investigated visualization design spaces in terms of accuracy, efficiency, memorability, sense of orientation, and user preference. In particular, the 2D visualization on the screen performed worse compared to the 3D visualizations with regard to the measured variables. The study shows that an increased level of immersion can be a substantial benefit in the context of 3D data and cluster detection.",https://pubmed.ncbi.nlm.nih.gov/31536002/
3,  Display Hardware and Output Devices,Paper,VisTiles: Coordinating and Combining Co-located Mobile Devices for Visual Data Exploration,"We presentVISTILES, a conceptual framework that uses a set of mobile devices to distribute and coordinate visualizationviews for the exploration of multivariate data. In contrast to desktop-based interfaces for information visualization, mobile devicesoffer the potential to provide a dynamic and user-defined interface supporting co-located collaborative data exploration with differentindividual workflows. As part of our framework, we contribute concepts that enable users to interact with coordinated & multiple views(CMV) that are distributed across several mobile devices. The major components of the framework are: (i)dynamic and flexible layoutsfor CMVfocusing on the distribution of views and (ii) an interaction concept forsmart adaptations and combinations of visualizationsutilizing explicit side-by-side arrangements of devices. As a result, users can benefit from the possibility to combine devices andorganize them in meaningful spatial layouts. Furthermore, we present a web-based prototype implementation as a specific instance ofour concepts. This implementation provides a practical application case enabling users to explore a multivariate data collection. Wealso illustrate the design process including feedback from a preliminary user study, which informed the design of both the concepts andthe final prototype.",https://imld.de/cnt/uploads/Langner_VisTiles_InfoVis17.pdf
3,  Interaction Modalities,Paper,A Lightweight Tangible 3D Interface for Interactive Visualization of Thin Fiber Structures,"We present a prop-based, tangible interface for 3D interactive visualization of thin fiber structures. These data are com-monly found in current bioimaging datasets, for example second-harmonic generation microscopy of collagen fibers in tissue. Ourapproach uses commodity visualization technologies such as a depth sensing camera and low-cost 3D display. Unlike most currentuses of these emerging technologies in the games and graphics communities, we employ the depth sensing camera to create afish-tank stereoscopic virtual reality system at the scientist’s desk that supports tracking of small-scale gestures with objects alreadyfound in the work space. We apply the new interface to the problem of interactive exploratory visualization of three-dimensional thinfiber data. A critical task for the visual analysis of these data is understanding patterns in fiber orientation throughout a volume.Theinterface enables a new, fluid style of data exploration and fiber orientation analysis by using props to provide needed passive-hapticfeedback, making 3D interactions with these fiber structures more controlled. We also contribute a low-level algorithm for extractingfiber centerlines from volumetric imaging. The system was designed and evaluated with two biophotonic experts who currently use itin their lab. As compared to typical practice within their field, the new visualization system provides a more effective way to examineand understand the 3D bioimaging datasets they collect.",http://bret-jackson.com/papers/vis13-propbased-fiber-vis.pdf
3,  Development Environments,Paper,Vega-lite: A grammar of interactive graphics,"We present Vega-Lite, a high-level grammar that enables rapid specification of interactive data visualizations. Vega-Lite combines a traditional grammar of graphics, providing visual encoding rules and a composition algebra for layered and multi-view displays, with a novel grammar of interaction. Users specify interactive semantics by composing selections. In Vega-Lite, a selection is an abstraction that defines input event processing, points of interest, and a predicate function for inclusion testing. Selections parameterize visual encodings by serving as input data, defining scale extents, or by driving conditional logic. The Vega-Lite compiler automatically synthesizes requisite data flow and event handling logic, which users can override for further customization. In contrast to existing reactive specifications, Vega-Lite selections decompose an interaction design into concise, enumerable semantic units. We evaluate Vega-Lite through a range of examples, demonstrating succinct specification of both customized interaction methods and common techniques such as panning, zooming, and linked selection.",https://pubmed.ncbi.nlm.nih.gov/27875150/
3,  Processing Paradigms,Paper,VTK-m: Accelerating the Visualization Toolkit for Massively Threaded Architectures,"One of the most critical challenges for high-performance computing (HPC) scientific visualization is execution on massively threaded processors. Of the many fundamental changes we are seeing in HPC systems, one of the most profound is a reliance on new processor types optimized for execution bandwidth over latency hiding. Our current production scientific visualization software is not designed for these new types of architectures. To address this issue, the VTK-m framework serves as a container for algorithms, provides flexible data representation, and simplifies the design of visualization algorithms on new and future computer architecture.",http://www.sci.utah.edu/publications/Mor2016b/07466740.pdf
3,  Engineering Visualization Systems,Paper,"Keeping Multiple Views Consistent: Constraints, Validations and Exceptions in Visualization Authoring","Visualizations often appear in multiples, either in a single display (e.g., small multiples, dashboard) or across time or space (e.g., slideshow, set of dashboards). However, existing visualization design guidelines typically focus on single rather than multiple views. Solely following these guidelines can lead to effective yet inconsistent views (e.g., the same field has different axes domains across charts), making interpretation slow and error-prone. Moreover, little is known how consistency balances with other design considerations, making it difficult to incorporate consistency mechanisms in visualization authoring software. We present a wizard-of-oz study in which we observed how Tableau users achieve and sacrifice consistency in an exploration-to-presentation visualization design scenario. We extend (from our prior work) a set of encoding-specific constraints defining consistency across multiple views. Using the constraints as a checklist in our study, we observed cases where participants spontaneously maintained consistent encodings and warned cases where consistency was overlooked. In response to the warnings, participants either revised views for consistency or stated why they thought consistency should be overwritten. We categorize participants' actions and responses as constraint validations and exceptions, depicting the relative importance of consistency and other design considerations under various circumstances (e.g., data cardinality, available encoding resources, chart layout). We discuss automatic consistency checking as a constraint-satisfaction problem and provide design implications for communicating inconsistencies to users.",https://ieeexplore.ieee.org/abstract/document/8017651
3,  Visualization Systems,Paper,OSPRay – A CPU Ray Tracing Framework for Scientific Visualization,"Scientific data is continually increasing in complexity, variety and size, making efficient visualization and specifically rendering an ongoing challenge. Traditional rasterization-based visualization approaches encounter performance and quality limitations, particularly in HPC environments without dedicated rendering hardware. In this paper, we present OSPRay, a turn-key CPU ray tracing framework oriented towards production-use scientific visualization which can utilize varying SIMD widths and multiple device backends found across diverse HPC resources. This framework provides a high-quality, efficient CPU-based solution for typical visualization workloads, which has already been integrated into several prevalent visualization packages. We show that this system delivers the performance, high-level API simplicity, and modular device support needed to provide a compelling new rendering framework for implementing efficient scientific visualization workflows.",https://ieeexplore.ieee.org/document/7539599
3,  Visualization Systems,Paper,Inviwo - A Visualization System with Usage Abstraction Levels,"The complexity of today's visualization applications demands specific visualization systems tailored for the development of these applications. Frequently, such systems utilize levels of abstraction to improve the application development process, for instance by providing a data flow network editor. Unfortunately, these abstractions result in several issues, which need to be circumvented through an abstraction-centered system design. Often, a high level of abstraction hides low level details, which makes it difficult to directly access the underlying computing platform, which would be important to achieve an optimal performance. Therefore, we propose a layer structure developed for modern and sustainable visualization systems allowing developers to interact with all contained abstraction levels. We refer to this interaction capabilities as usage abstraction levels, since we target application developers with various levels of experience. We formulate the requirements for such a system, derive the desired architecture, and present how the concepts have been exemplary realized within the Inviwo visualization system. Furthermore, we address several specific challenges that arise during the realization of such a layered architecture, such as communication between different computing platforms, performance centered encapsulation, as well as layer-independent development by supporting cross layer documentation and debugging capabilities.",https://ieeexplore.ieee.org/document/8730513
3,  Data and Software Resources,Paper,vispubdata.org: A Metadata Collection about IEEE Visualization (VIS) Publications,"We have created and made available to all a dataset with information about every paper that has appeared at the IEEE Visualization (VIS) set of conferences: InfoVis, SciVis, VAST, and Vis. The information about each paper includes its title, abstract, authors, and citations to other papers in the conference series, among many other attributes. This article describes the motivation for creating the dataset, as well as our process of coalescing and cleaning the data, and a set of three visualizations we created to facilitate exploration of the data. This data is meant to be useful to the broad data visualization community to help understand the evolution of the field and as an example document collection for text data visualization research.",https://ieeexplore.ieee.org/document/7583708
